"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"init-1","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.221","1","EXECUTED","8:c335c4b03ca0759ce7dc22428ec3b6a6","createTable tableName=ipa_alerta","","","4.4.3","()","","0898066849"
"init-2","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.235","2","EXECUTED","8:5c0c5310db3082f9adc84fbf65552cb0","createTable tableName=ipa_carpeta","","","4.4.3","()","","0898066849"
"init-3","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.238","3","EXECUTED","8:18db80d9049aa465869ef9d5a76d0d99","createTable tableName=ipa_contingut","","","4.4.3","()","","0898066849"
"init-5","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.241","4","EXECUTED","8:7b18beb8f854ea92c357dc005b48c8f9","createTable tableName=ipa_cont_log","","","4.4.3","()","","0898066849"
"init-6","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.245","5","EXECUTED","8:e68c4093daafc96f7ad94ae14c270804","createTable tableName=ipa_cont_mov","","","4.4.3","()","","0898066849"
"init-7","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.249","6","EXECUTED","8:c4535303add7ab9069fd1f4c7e143068","createTable tableName=ipa_dada","","","4.4.3","()","","0898066849"
"init-8","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.253","7","EXECUTED","8:7e8081807c450d58155bfa7f81c25f94","createTable tableName=ipa_document","","","4.4.3","()","","0898066849"
"init-9","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.258","8","EXECUTED","8:d049437416903654e8cb00d07fecee2d","createTable tableName=ipa_document_enviament","","","4.4.3","()","","0898066849"
"init-10","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.262","9","EXECUTED","8:e513c569a9bf86675a8bf72acee48bf9","createTable tableName=ipa_document_enviament_dis","","","4.4.3","()","","0898066849"
"init-11","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.266","10","EXECUTED","8:2c503b00f58f0945a46631ebf50bcba9","createTable tableName=ipa_document_enviament_doc","","","4.4.3","()","","0898066849"
"init-12","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.271","11","EXECUTED","8:33a239de03b92b2994e3df0636c4e0de","createTable tableName=ipa_document_enviament_inter","","","4.4.3","()","","0898066849"
"init-13","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.276","12","EXECUTED","8:90c0e158672ad81c559b4a6a12abecd1","createTable tableName=ipa_domini","","","4.4.3","()","","0898066849"
"init-14","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.281","13","EXECUTED","8:e7cf8f7ce89e3f1a99a839f420ec5d50","createTable tableName=ipa_email_pendent_enviar","","","4.4.3","()","","0898066849"
"init-15","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.286","14","EXECUTED","8:ce05b245087267c3a2b53318faf1019e","createTable tableName=ipa_entitat","","","4.4.3","()","","0898066849"
"init-16","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.291","15","EXECUTED","8:c1498d10a40b963afee3b628460d9fd7","createTable tableName=ipa_execucio_massiva","","","4.4.3","()","","0898066849"
"init-17","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.296","16","EXECUTED","8:f18c8ee6e2c110163f3873b0daaffd13","createTable tableName=ipa_expedient","","","4.4.3","()","","0898066849"
"init-18","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.3","17","EXECUTED","8:e2b43c0f8090e96d5ce122ae77585a32","createTable tableName=ipa_expedient_estat","","","4.4.3","()","","0898066849"
"init-20","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.304","18","EXECUTED","8:50f2871c8130c51581c84a54bdaa1bef","createTable tableName=ipa_expedient_interessat","","","4.4.3","()","","0898066849"
"init-21","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.309","19","EXECUTED","8:390fe1c0d2e9975321a1e1748fa5f3a5","createTable tableName=ipa_expedient_organpare","","","4.4.3","()","","0898066849"
"init-22","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.314","20","EXECUTED","8:3569222b54a61f93d091b70cc14bfa1b","createTable tableName=ipa_expedient_peticio","","","4.4.3","()","","0898066849"
"init-23","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.319","21","EXECUTED","8:fa50129966d39e095434a5bb2e0a0034","createTable tableName=ipa_expedient_rel","","","4.4.3","()","","0898066849"
"init-24","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.324","22","EXECUTED","8:83a8991094233578a36f63c7a835968c","createTable tableName=ipa_expedient_seguidor","","","4.4.3","()","","0898066849"
"init-25","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.329","23","EXECUTED","8:6c178b0b571ecf667f5a95f429bb526f","createTable tableName=ipa_expedient_tasca","","","4.4.3","()","","0898066849"
"init-26","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.334","24","EXECUTED","8:f57300c0f2b23ea909108a5138315829","createTable tableName=ipa_exp_comment","","","4.4.3","()","","0898066849"
"init-27","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.338","25","EXECUTED","8:797d5333094b183c7feebcccf03b8a0a","createTable tableName=ipa_grup","","","4.4.3","()","","0898066849"
"init-28","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.342","26","EXECUTED","8:b3a9b5ef52867e120a5e08284724e18d","createTable tableName=ipa_historic","","","4.4.3","()","","0898066849"
"init-29","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.347","27","EXECUTED","8:bb2cb7ab3109c6a9da91b5d89786de86","createTable tableName=ipa_hist_expedient","","","4.4.3","()","","0898066849"
"init-30","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.351","28","EXECUTED","8:9d9a8e41d379c272c929dd9d8cff70ed","createTable tableName=ipa_hist_exp_interessat","","","4.4.3","()","","0898066849"
"init-31","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.357","29","EXECUTED","8:8b8e816b140dee57f71f91eb4688cc51","createTable tableName=ipa_hist_exp_usuari","","","4.4.3","()","","0898066849"
"init-32","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.361","30","EXECUTED","8:506b6c5508e1b4a0c66db363ed74ec12","createTable tableName=ipa_interessat","","","4.4.3","()","","0898066849"
"init-33","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.366","31","EXECUTED","8:3a5f53c1860b46a6b909fa7af4c71514","createTable tableName=ipa_massiva_contingut","","","4.4.3","()","","0898066849"
"init-34","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.371","32","EXECUTED","8:4e211ce66a00b19df36745ec861e6beb","createTable tableName=ipa_metadada","","","4.4.3","()","","0898066849"
"init-35","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.376","33","EXECUTED","8:139c248504e0a0d67d98fe5a420078d1","createTable tableName=ipa_metadocument","","","4.4.3","()","","0898066849"
"init-36","limit (generated)","db/changelog/initial_schema_table.yaml","2022-08-19T10:34:27.38","34","EXECUTED","8:e1d1ff97917e1e4eedf18e1a64cc828e","createTable tableName=ipa_metaexpedient","","","4.4.3","()","","0898066849"
